Name,FuelSubType,FuelType,Owner,YearCommissioning,Capacity,Status,Long,Lat,FuelCategory,LGA,Source,Region
Tuckeroo Battery,Storage,Battery storage,AGL Energy,,500,Development approval,150.7208988,-26.9189749,Storage,Western Downs,https://www.agl.com.au/about-agl/operations/queensland-battery?cidi=AGL%7CB1002548,Darling Downs and South West
Tumuruu BESS,Storage,Battery storage,Australian Solar Enterprises,,500,Development approval,152.100476,-26.842564,Storage,South Burnett,https://tumuruusolar.com.au/,Wide Bay Burnett
Tumuruu Solar Farm,Solar,Solar,Australian Solar Enterprises,,370,Development approval,152.104385,-26.833892,Renewable,South Burnett,https://tumuruusolar.com.au/,Wide Bay Burnett
Upper Calliope Solar Farm,Solar,Solar,European Energy,,1100,Development approval,150.7536505,-24.0425017,Renewable,Gladstone,https://au.europeanenergy.com/upper-calliope-solar-farm/,Central
Wambo Wind Farm,Storage,Battery storage,RE Partners/ Cubico Sustainable Investments,,50,Development approval,151.25186,-26.683,Storage,Western Downs,https://reneweconomy.com.au/big-battery-storage-map-of-australia/,Darling Downs and South West
Wambo Wind Farm (Stage 1),Wind,Wind,Stanwell/ Cubico Sustainable Investments,,252,Under construction,151.25686,-26.678,Renewable,Western Downs,https://wambowindfarm.com.au,Darling Downs and South West
Wambo Wind Farm (Stage 2),Wind,Wind,RE Partners/ Cubico Sustainable Investments,,254.2,Under construction,151.26186,-26.673,Renewable,Western Downs,https://wambowindfarm.com.au/#about-the-project,Darling Downs and South West
Wandoan South Solar Project Stage 2,Solar,Solar,Vena Energy,,240,Under construction,149.8184009,-26.2602928,Renewable,Western Downs,https://www.venaenergy.com.au/our-projects/,Darling Downs and South West
Warhook Solar Farm,Solar,Solar,Engie Renewables,,200,Development approval,150.2661987,-26.61334008,Renewable,Western Downs,,Darling Downs and South West
Warhook Solar Farm (BESS),Storage,Battery storage,Engie Renewables,,200,Development approval,150.2711987,-26.60834008,Storage,Western Downs,,Darling Downs and South West
Western Downs Green Power Hub (BESS 3),Storage,Battery storage,Neoen,,305,Under construction,150.6885454,-26.9521305,Storage,Western Downs,,Darling Downs and South West
Whitestone Energy Battery,Storage,Battery storage,Whitestone Energy Pty Ltd,,250,Development approval,150.2837754,-26.6512211,Storage,Western Downs,https://daystarenergy.com.au/,Darling Downs and South West
Wongalee Wind Farm,Wind,Wind,Windlab/Fortescue Future Industries,,1400,Development approval,144.505957,-20.56338,Renewable,Flinders,https://www.northqueenslandsuperhub.com/wongalee-wind-farm,North
Woolooga BESS,Storage,Battery storage,Aula Energy,,200,Under construction,152.4450615,-26.0866384,Storage,Gympie,https://lightsourcebp.com/au/project/woolooga-solar/,Wide Bay Burnett
Yabulu BESS,Storage,Battery storage,ACE Power,,200,Development approval,146.5797584,-19.2551688,Storage,Townsville,https://acepower.com.au/yabulu-bess/,North
Yabulu Solar Farm,Solar,Solar,ACE Power,,90,Development approval,146.5902939,-19.2550284,Renewable,Townsville,https://acepower.com.au/yabulu-solar/,North
