Name,FuelSubType,FuelType,Owner,YearCommissioning,Capacity,Status,Long,Lat,FuelCategory,LGA,Source,Region
Tableland Sugar Mill Stage 2,Bagasse,Bioenergy,MSF Sugar,Dec 2020,24,Operating,145.344384,-17.12028495,Renewable,Mareeba,http://www.msfsugar.com.au/2016/08/75m-green-power-station-for-tableland-mill-near-mareeba-qld/,Far North
Middlemount solar farm,Solar,Solar,SUSI Partners,Jan 2021,26,Operating,148.7190896,-22.82347712,Renewable,Isaac,,"Mackay, Isaac, Whitsunday"
Kennedy Energy Park (Wind),Wind,Wind,Windlab and Erusus Energy,Jul 2021,43.2,Operating,144.3704792,-20.9260537,Renewable,Flinders,https://kennedyenergypark.com.au/,North
Kennedy Energy Park (Solar),Solar,Solar,Windlab and Erusus Energy,Jul 2021,15,Operating,144.419213,-20.87458456,Renewable,Flinders,https://kennedyenergypark.com.au/,North
Wandoan Battery Energy Storage,Storage,Battery storage,AGL Energy / Vena Energy,Sep 2021,100,Operating,149.765884,-26.261617,Storage,Western Downs,https://reneweconomy.com.au/agl-proposes-mega-battery-next-to-coopers-gap-wind-farm-in-queensland-53354/,Darling Downs and South West
Gangarri Solar Farm,Solar,Solar,Shell Australia,Sep 2021,120,Operating,149.7525893,-26.26881271,Renewable,Western Downs,https://www.shell.com.au/energy-and-innovation/shell-australia-new-energies/gangarri-solar-project,Darling Downs and South West
Western Downs Green Power Hub,Solar,Solar,Neoen,Feb 2022,400,Operating,150.6775759,-26.95777251,Renewable,Western Downs,https://westerndownsgreenpowerhub.com.au/,Darling Downs and South West
Woolooga Solar Farm,Solar,Solar,Aula Energy,May 2022,176,Operating,152.441,-26.0789,Renewable,Gympie,https://lightsourcebp.com/au/project/woolooga-solar/,Wide Bay Burnett
Columboola Solar Farm,Solar,Solar,Hana Financial Investment,Jun 2022,162,Operating,150.3030388,-26.63287208,Renewable,Western Downs,EPBC Referral - 2017/7962,Darling Downs and South West
Blue Grass Solar Farm,Solar,Solar,X-Elio,Aug 2022,148,Operating,150.5044313,-26.68313112,Renewable,Western Downs,https://www.x-elio.com/projects-archive/blue-grass/,Darling Downs and South West
Kaban Green Power Hub (Wind),Wind,Wind,Neoen,Oct 2022,157,Operating,145.4030137,-17.57187118,Renewable,Tablelands,https://kabangreenpowerhub.com.au/,Far North
Moura Solar Farm,Solar,Solar,Metlen Energy & Metals,Oct 2022,82,Operating,150.0851394,-24.5134344,Renewable,Banana,https://mourasolar.com.au/,Central
Edenvale Solar Park,Solar,Solar,Sojitz/ENEOS,Apr 2023,146,Operating,150.5845249,-26.93648182,Renewable,Western Downs,https://edenvalesolarpark.com/,Darling Downs and South West
Dulacca Renewable Energy Project (Wind),Wind,Wind,Octopus Australia,Apr 2023,180,Operating,149.8587083,-26.62305983,Renewable,Western Downs,https://www.dulaccawindfarm.com.au/,Darling Downs and South West
Wandoan South Solar Project Stage 1,Solar,Solar,Vena Energy,May 2023,125,Operating,149.7725941,-26.2543316,Renewable,Western Downs,https://www.venaenergy.com.au/our-projects/,Darling Downs and South West
Bouldercombe Battery Project,Storage,Battery storage,Genex Power Limited,Jun 2023,50,Operating,150.4888048,-23.535396,Storage,Rockhampton,,Central
Dugald River Solar Farm (Stage 1),Solar,Solar,APA Group,Dec 2023,44,Operating,139.493521,-20.801603,Renewable,Mount Isa,https://reneweconomy.com.au/first-stage-of-mt-isa-solar-farm-gets-green-light-after-supply-deal-with-zinc-miner/,North
Dugald River Solar Farm (Stage 2),Solar,Solar,APA Group,Dec 2023,44,Operating,139.492944,-20.817308,Renewable,Mount Isa,https://reneweconomy.com.au/mt-isa-solar-farm-to-be-biggest-outside-main-grids-after-new-contract-with-local-miner/,North
Chinchilla Battery,Storage,Battery storage,CS Energy,Feb 2024,100,Operating,150.745426,-26.9190732,Storage,Western Downs,https://www.csenergy.com.au/what-we-do/batteries,Darling Downs and South West
Tully Sugar Mill,Bagasse,Bioenergy,Tully Sugar Limited,Jul 2024,21.4,Operating,145.9274912,-17.93676578,Renewable,Cassowary Coast,,Far North
Western Downs Green Power Hub (BESS 1),Storage,Battery storage,Neoen,Aug 2024,270,Operating,150.6825759,-26.95277251,Storage,Western Downs,https://westerndownsgreenpowerhub.com.au/,Darling Downs and South West
Kingaroy Solar Farm,Solar,Solar,Metlen Energy & Metals,Sep 2024,40,Operating,151.8814318,-26.53842167,Renewable,South Burnett,https://kingaroysolarfarm.com.au/,Wide Bay Burnett
MacIntyre Wind Farm,Wind,Wind,Acciona Energy,Oct 2024,923.4,Operating,151.62068,-28.39971662,Renewable,Goondiwindi,https://www.acciona.com.au/projects/energy/wind-power/macintyre-wind-farm/,Darling Downs and South West
Clarke Creek Wind Farm (Stage 1),Wind,Wind,Sqadron Energy,Oct 2024,450,Operating,149.440248,-22.847723,Renewable,Livingstone,https://www.squadronenergy.com/our-projects/clarke-creek-wind-farm,Central
Greenbank Battery,Storage,Battery storage,CS Energy,Feb 2025,200,Operating,152.954451,-27.733281,Storage,Logan,https://www.csenergy.com.au/news/cs-energy-partners-with-powerlink-on-battery-project,South East
Aldoga Solar Farm,Solar,Solar,Acciona Energy,Mar 2025,380,Operating,151.038643,-23.80474107,Renewable,Gladstone,https://www.acciona.com.au/aldoga/,Central
Ulinda Park Battery,Storage,Battery storage,Akaysha Energy,Jun 2025,150,Operating,150.7198963,-26.9294161,Storage,Western Downs,https://akayshaenergy.com/projects/ulinda-park-bess,Darling Downs and South West
Tarong Battery,Storage,Battery storage,Stanwell Corporation,Jul 2025,300,Operating,151.9102955,-26.7812551,Storage,South Burnett,https://www.stanwell.com/tarong-battery-energy-storage-system,Wide Bay Burnett
Munna Creek Solar Farm,Solar,Solar,Metlen Energy & Metals,Sep 2025,120,Operating,152.4356913,-25.87781183,Renewable,Fraser Coast,https://munnacreeksolar.com.au/,Wide Bay Burnett
Brendale BESS,Storage,Battery storage,Akaysha Energy,Sep 2025,205,Operating,152.97338,-27.32906,Storage,Moreton Bay,https://akayshaenergy.com/projects/brendale-bess,South East
Western Downs Green Power Hub (BESS 2),Storage,Battery storage,Neoen,Oct 2025,270,Operating,150.6875759,-26.94777251,Storage,Western Downs,https://reneweconomy.com.au/queenslands-biggest-battery-to-double-in-size-after-agl-signs-virtual-contract/,Darling Downs and South West
Supernode Battery (stage 1),Storage,Battery storage,Quinbrook,Oct 2025,260,Operating,152.9711101,-27.3198229,Storage,Moreton Bay,https://www.quinbrook.com/quinbrook-project/supernode-bess/,South East
Gunsynd Solar Farm,Solar,Solar,Metis Energy,Nov 2025,94,Operating,150.3431601,-28.40940301,Renewable,Goondiwindi,https://www.gunsyndsolarfarm.com.au/,Darling Downs and South West
Broadsound Solar Farm,Solar,Solar,Iberdrola,Dec 2025,296,Operating,149.394597,-22.828889,Renewable,Isaac,,"Mackay, Isaac, Whitsunday"
Bundaberg Solar Farm,Solar,Solar,Global Power Generation,Mar 2026,78,Operating,152.013456,-24.93756324,Renewable,Bundaberg,https://www.globalpower-generation.com/en/geographical-presence/projects-in-australia/,Wide Bay Burnett
Swanbank Battery,Storage,Battery storage,CleanCo Queensland Ltd,Nov 2026,250,Operating,152.8145128,-27.6606073,Storage,Ipswich,https://www.stanwell.com/stanwell-battery-energy-storage-system,South East
Farleigh Mill,Bagasse,Bioenergy,Mackay Sugar Limited,Pre 2001,13,Operating,149.0997816,-21.09873236,Renewable,Mackay,,"Mackay, Isaac, Whitsunday"
Inkerman Mill,Bagasse,Bioenergy,Wilmar Sugar,Pre 2001,13,Operating,147.4018809,-19.64373778,Renewable,Burdekin,,North
Isis Central Sugar Mill,Bagasse,Bioenergy,ISIS Central Sugar Mill Co Ltd,Pre 2001,25,Operating,152.2070885,-25.19428211,Renewable,Bundaberg,,Wide Bay Burnett
Kalamia Mill,Bagasse,Bioenergy,Wilmar Sugar,Pre 2001,9,Operating,147.4153977,-19.52273497,Renewable,Burdekin,,North
Koombooloomba,Hydro,Hydro,CleanCo Queensland Ltd,Pre 2001,7,Operating,145.6035904,-17.83154955,Renewable,Tablelands,,Far North
Macknade Mill,Bagasse,Bioenergy,Wilmar Sugar,Pre 2001,8,Operating,146.2583357,-18.58874255,Renewable,Hinchinbrook,,North
Marian Mill,Bagasse,Bioenergy,Mackay Sugar Limited,Pre 2001,18,Operating,148.9393106,-21.14325495,Renewable,Mackay,,"Mackay, Isaac, Whitsunday"
Mount St John,Sewage,Other,Townsville City Council,Pre 2001,5,Operating,146.7436242,-19.25405815,Renewable,Townsville,,North
Plane Creek Mill,Bagasse,Bioenergy,Wilmar Sugar,pre 2001,14,Operating,149.2160893,-21.42856864,Renewable,Mackay,,"Mackay, Isaac, Whitsunday"
Proserpine Sugar Mill,Bagasse,Bioenergy,Wilmar Sugar,pre 2001,17,Operating,148.5800426,-20.39882102,Renewable,Whitsunday,,"Mackay, Isaac, Whitsunday"
South Johnstone Sugar Mill,Bagasse,Bioenergy,The Maryborough Sugar Factory Limited,pre 2001,20,Operating,145.9911827,-17.6057782,Renewable,Cassowary Coast,,Far North
Tableland Sugar Mill,Bagasse,Bioenergy,The Maryborough Sugar Factory Limited,pre 2001,7,Operating,145.349384,-17.11528495,Renewable,Mareeba,,Far North
Victoria Mill,Bagasse,Bioenergy,Wilmar Sugar,pre 2001,24,Operating,146.2023608,-18.6504999,Renewable,Hinchinbrook,,North
Gladstone A&B,Wood waste,Bioenergy,NRG Gladstone Operating Ptd,Unknown ,10,Operating,151.218864,-23.85039313,Renewable,Gladstone,,Central
Abermain BESS,Storage,Battery storage,AGL Energy,,200,Development approval,152.775065,-27.577704,Storage,Ipswich,https://firmpower.com.au/our-projects/abermain-bess/,South East
Aldoga BESS Stage 1,Storage,Battery storage,Acciona Energy,,400,Development approval,151.0745749,-23.8260837,Storage,Gladstone,https://community.acciona.com.au/aldoga-solar-farm-bess,Central
Amrun Solar Farm,Solar,Solar,Rio Tinto,,12.4,Under construction,141.658,-12.94408,Renewable,Cook,https://www.aggreko.com/en-au/news/2023/auspac/build-own-operate-solar-farm-bess-weipa,Far North
Amrun Solar Farm (BESS),Storage,Battery storage,Rio Tinto,,8.8,Under construction,141.663,-12.93908,Storage,Cook,https://www.aggreko.com/en-au/news/2023/auspac/build-own-operate-solar-farm-bess-weipa,Far North
Aramara BESS,Storage,Battery storage,AGL Energy,,200,Development approval,152.3132965,-25.5697359,Storage,Fraser Coast,https://firmpower.com.au/our-projects/aramara-bess/,Wide Bay Burnett
Aramara solar farm,Solar,Solar,AGL Energy,,102,Development approval,152.3292771,-25.57125645,Renewable,Fraser Coast,https://www.agl.com.au/about-agl/operations/pipeline-projects,Wide Bay Burnett
Banana Range Wind Farm (BESS),Storage,Battery storage,EDF Renewables,,50,Development approval,150.3285855,-24.45939146,Storage,Banana,https://www.bananarangewindfarm.com.au/,Central
Banana Range Wind Farm (Stage 1),Wind,Wind,EDF Renewables,,230,Development approval,150.33367,-24.452351,Renewable,Banana,https://www.bananarangewindfarm.com.au/,Central
Banksia Solar Farm,Solar,Solar,Venn Arbitir Pty Ltd,,60,Development approval,152.368025,-25.242041,Renewable,Bundaberg,https://vennenergy.au/projects/,Wide Bay Burnett
Beebo Solar Farm and BESS (BESS),Storage,Battery storage,Jinko,,400,Development approval,150.9853661,-28.6910742,Storage,Goondiwindi,LGA development application,Darling Downs and South West
Beebo Solar Farm and BESS (Solar),Solar,Solar,Jinko,,508,Development approval,150.9615722,-28.6986419,Renewable,Goondiwindi,LGA development application,Darling Downs and South West
Beelbee Solar Farm,Solar,Solar,APA Group,,150,Development approval,150.822693,-27.14895222,Renewable,Western Downs,http://reneweconomy.com.au/queensland-big-solar-boom-continues-another-150mw-project-approved-44598/,Darling Downs and South West
Blackstone BESS,Storage,Battery storage,Octopus Australia,,500,Development approval,152.8095881,-27.6465364,Storage,Ipswich,https://octopusinvestments.com.au/our-projects/blackstone-battery/,South East
Blue Grass BESS (Stage 1),Storage,Battery storage,X-Elio,,60,Under construction,150.498474,-26.6908809,Storage,Western Downs,https://www.x-elio.com/projects-archive/blue-grass-bess/,Darling Downs and South West
Blue Grass BESS (Stage 2),Storage,Battery storage,X-Elio,,88,Financial Close,150.503474,-26.6858809,Storage,Western Downs,https://www.x-elio.com/projects-archive/blue-grass-bess/,Darling Downs and South West
Bluewater Solar Farm,Solar,Solar,FRV Services Australia Pty Ltd,,102,Development approval,146.4926415,-19.1363076,Renewable,Townsville,,North
Boulder Creek Wind Farm,Wind,Wind,Aula Energy/CS Energy,,228,Under construction,150.28499,-23.65958,Renewable,Rockhampton,https://www.bouldercreekwindfarm.com.au/,Central
Brigalow Peaking Power Plant,Fossil - Natural Gas,Gas,CS Energy / APA Group,,400,Financial Close,150.7577589,-26.9180332,Fossil,Western Downs,https://www.csenergy.com.au/what-we-do/firming-and-storage/brigalow-peaking-power-plant,Darling Downs and South West
Broadlea Solar Farm,Solar,Solar,Eco Energy World,,90,Development approval,148.322906,-21.9702118,Renewable,Isaac,LGA development application,"Mackay, Isaac, Whitsunday"
Broadsound BESS,Storage,Battery storage,Iberdrola,,180,Under construction,149.399597,-22.823889,Storage,Isaac,https://www.iberdrola.com.au/our-assets/operating-renewable-energy-assets/broadsound-solar-farm-and-battery,"Mackay, Isaac, Whitsunday"
Bulli Creek Solar Farm,Solar,Solar,Genex Power Limited,,775,Development approval,150.8778832,-28.02108918,Renewable,Toowoomba,https://genexpower.com.au/775mw-bulli-creek-stage-1-solar-project/,Darling Downs and South West
Bullyard Solar Farm,Solar,Solar,European Energy,,108.8,Development approval,152.086556,-24.9410738,Renewable,Bundaberg,https://au.europeanenergy.com/bullyard-solar-farm/,Wide Bay Burnett
Bungaban Renewable Energy Farm,Wind,Wind,Windlab,,1400,Development approval,150.364754,-25.8821,Renewable,Western Downs,https://www.bungabanrenewableenergyfarm.com.au/,Darling Downs and South West
Burdekin Solar Farm (BESS),Storage,Battery storage,ACE Power,,500,Development approval,147.1612685,-19.87926258,Storage,Burdekin,https://acepower.com.au/burdekin/,North
Burdekin Solar Farm (Solar),Solar,Solar,ACE Power,,108,Development approval,147.1662685,-19.87426258,Renewable,Burdekin,https://acepower.com.au/burdekin/,North
Callide Solar Power Station Project (Solar),Solar,Solar,Edify Energy,,240,Development approval,150.5876783,-24.3534648,Renewable,Banana,https://edifyenergy.com/project/callide/,Central
Callide Wind Farm,Wind,Wind,DP Energy,,430,Development approval,150.568291,-24.09013,Renewable,Banana,https://dpenergy.com/australia-callide-wind-farm-queensland/,Central
Cambridge Solar Farm (Stage 1),Solar,Solar,Cambridge RE Partners,,300,Development approval,147.043396,-19.724252,Renewable,Burdekin,https://www.cambridgerepartners.com/renewable-investments,North
Cambridge Solar Farm (Stage 2),Solar,Solar,Cambridge RE Partners,,205,Development approval,147.048396,-19.719252,Renewable,Burdekin,https://www.cambridgerepartners.com/renewable-investments,North
Cambridge Solar Farm (Stage 3),Solar,Solar,Cambridge RE Partners,,560,Development approval,147.053396,-19.714252,Renewable,Burdekin,https://www.cambridgerepartners.com/renewable-investments,North
Central BESS,Storage,Battery storage,ACEnergy,,500,Development approval,150.4919262,-23.5325617,Storage,Rockhampton,https://www.thecentralbess.com.au/,Central
Central REZ Battery / Stanwell BESS,Storage,Battery storage,Stanwell Corporation,,300,Under construction,150.31592,-23.51335,Storage,Rockhampton,https://www.stanwell.com/stanwell-battery-energy-storage-system,Central
Childers Solar Farm (BESS),Storage,Battery storage,Atmos Renewables,,25,Development approval,152.4077074,-25.30018253,Storage,Bundaberg,https://reneweconomy.com.au/elliott-green-power-to-add-batteries-and-more-australian-solar-while-still-looking-for-buyers/,Wide Bay Burnett
Chinchilla Solar Farm,Solar,Solar,Edify Energy,,130,Development approval,150.7883625,-26.6687484,Renewable,Western Downs,EPBC Referral,Darling Downs and South West
Chinchilla Solar Farm (BESS),Storage,Battery storage,Edify Energy,,130,Development approval,150.7933625,-26.6637484,Storage,Western Downs,EPBC Referral,Darling Downs and South West
Clare BESS,Storage,Battery storage,FRV Services Australia Pty Ltd,,100,Development approval,147.2100634,-19.8383724,Storage,Burdekin,Approval,North
Clarke Creek Wind Farm (Stage 2),Wind,Wind,Sqadron Energy,,400,Development approval,149.3896019,-22.74232713,Renewable,Isaac,https://www.squadronenergy.com/our-projects/clarke-creek-wind-farm-ii,"Mackay, Isaac, Whitsunday"
Cornerstone Energy Battery,Storage,Battery storage,Cornerstone Energy Pty Ltd,,250,Development approval,150.2842708,-26.6489094,Storage,Western Downs,https://daystarenergy.com.au/,Darling Downs and South West
Darling Downs Power Station battery,Storage,Battery storage,Origin Energy Power Limited,,500,Development approval,150.8943701,-27.1125899,Storage,Western Downs,https://www.originenergy.com.au/about/who-we-are/what-we-do/development-projects/,Darling Downs and South West
Daystar Energy Solar Farm,Solar,Solar,Daystar Energy,,100,Development approval,150.2888816,-26.6438053,Renewable,Western Downs,https://daystarenergy.com.au/,Darling Downs and South West
Dingo Solar Farm,Solar,Solar,OX2,,85,Development approval,149.3995471,-23.65110589,Renewable,Central Highlands,https://www.ox2.com/australia/projects/dingo-solar-farm/,Central
Dunmore solar farm,Solar,Solar,Octopus Australia,,300,Development approval,150.8526666,-27.6354708,Renewable,Toowoomba,EPBC referral,Darling Downs and South West
Dunmore solar farm (BESS),Storage,Battery storage,Octopus Australia,,150,Development approval,150.8472459,-27.6496076,Storage,Toowoomba,EPBC referral,Darling Downs and South West
Eurimbula Solar Farm,Solar,Solar,Elements Green / Eurimbula ProjectCo,,280,Development approval,151.585222,-24.18838,Renewable,Gladstone,EPBC referral - 2024/09802,Central
Eurimbula Solar Farm (BESS),Storage,Battery storage,Elements Green / Eurimbula ProjectCo,,666,Development approval,151.590222,-24.18338,Storage,Gladstone,EPBC referral - 2024/09802,Central
Everleigh (Crossroads) Battery,Storage,Battery storage,Grupo Cobra,,100,Development approval,150.5554574,-26.8957835,Storage,Western Downs,https://everleighsolarfarm.com.au/,Darling Downs and South West
Everleigh Solar Park,Solar,Solar,Grupo Cobra,,120,Development approval,150.5893067,-26.9474891,Renewable,Western Downs,https://everleighsolarfarm.com.au/,Darling Downs and South West
Fraser Coast Solar Park (Solar),Solar,Solar,Fraser Coast Solar Park Pty Ltd,,350,Development approval,152.2533953,-25.6766033,Renewable,Fraser Coast,LGA development application,Wide Bay Burnett
Ganymirra Solar Power Station (BESS),Storage,Battery storage,Edify Energy,,150,Development approval,146.8611872,-19.58411047,Storage,Townsville,https://edifyenergy.com/project/ganymirra-and-majors-creek/,North
Ganymirra Solar Power Station (Solar),Solar,Solar,Edify Energy,,150,Development approval,146.8661872,-19.57911047,Renewable,Townsville,https://edifyenergy.com/project/ganymirra-and-majors-creek/,North
Gawara Baya Wind Farm,Wind,Wind,Windlab,,400,Development approval,145.7283424,-18.7499318,Renewable,Charters Towers,https://www.windlab.com/our-projects/upper-burdekin-wind-farm/,North
Gawara Baya Wind Farm (BESS),Storage,Battery storage,Windlab,,104,Development approval,145.7459555,-18.7862225,Storage,Charters Towers,https://www.windlab.com/our-projects/upper-burdekin-wind-farm/,North
Gregory Solar Farm,Solar,Solar,Renewable Energy Developments,,215,Development approval,148.4495224,-23.13852991,Renewable,Central Highlands,,Central
Gunsynd Solar Farm (BESS),Storage,Battery storage,Metis Energy,,20,Development approval,150.3498733,-28.401744,Storage,Goondiwindi,https://www.gunsyndsolarfarm.com.au/,Darling Downs and South West
Gurambilbarra Energy Hub Solar,Solar,Solar,365 Fututre Energy Pty Ltd,,160,Development approval,146.727675,-19.424178,Renewable,Townsville,LGA development application,North
Halys BESS,Storage,Battery storage,Akaysha Energy,,1120,Development approval,151.7219103,-26.7706367,Storage,South Burnett,https://akayshaenergy.com/projects/halys-bess,Wide Bay Burnett
Harlin Solar farm (Solar),Solar,Solar,Sunshine Energy Australia,,1500,Development approval,152.4154087,-26.95060742,Renewable,Somerset,https://www.newenergydevelopment.com/projects-harlin-solar-farm,South East
Haughton Solar Farm (stage 2) BESS,Storage,Battery storage,Pacific Blue,,200,Development approval,147.0364136,-19.74499727,Storage,Burdekin,,North
Haughton Solar Farm (stage 2) Solar,Solar,Solar,Pacific Blue,,300,Development approval,147.0245,-19.757894,Renewable,Burdekin,https://www.pacificblue.com.au/our-energy-production/sites-in-development/haughton-stage-2,North
Hopeland Solar Farm,Solar,Solar,Pacific Partnerships,,250,Development approval,150.7130508,-26.93618554,Renewable,Western Downs,https://www.hopelandsolar.com.au/,Darling Downs and South West
Hopeland Solar Farm (BESS),Storage,Battery storage,Pacific Partnerships,,175,Development approval,150.7180508,-26.93118554,Storage,Western Downs,https://www.hopelandsolar.com.au/,Darling Downs and South West
Jimbour East Solar Farm,Solar,Solar,X-Elio,,200,Development approval,151.2289131,-26.90127804,Renewable,Western Downs,,Darling Downs and South West
Kaban Green Power Hub (BESS),Storage,Battery storage,Neoen,,100,Development approval,145.4080137,-17.56687118,Storage,Tablelands,https://kabangreenpowerhub.com.au/,Far North
Karara BESS,Storage,Battery storage,Acciona Energy,,400,Development approval,151.5607179,-28.3007566,Storage,Goondiwindi,https://www.acciona.com.au/projects/macintyre-wind-precinct/,Darling Downs and South West
Karrabin Solar Farm,Solar,Solar,EIWA Karrabin Solar,,43,Development approval,152.699385,-27.6022,Renewable,Ipswich,LGA development application,South East
Kidston Pumped Storage Project,Storage,Pumped hydro,Genex Power Limited,,250,Under construction,144.1559,-18.8732,Storage,Etheridge,https://genexpower.com.au/250mw-kidston-pumped-storage-hydro-project/,Far North
Kingaroy Wind Farm,Wind,Wind,Australian Energy Wind Farm,,57.1,Development approval,151.535588,-26.61446184,Renewable,South Burnett,,Wide Bay Burnett
Lockyer Valley Energy Project (BESS),Storage,Battery storage,Quinbrook,,850,Development approval,152.27634,-27.5359,Storage,Lockyer Valley,https://lockyerenergy.com.au/,South East
Lockyer Valley Energy Project (Gas),Fossil - Natural Gas,Gas,Lockyer Energy Management Pty Ltd,,117,Development approval,152.28134,-27.5309,Fossil,Lockyer Valley,https://lockyerenergy.com.au/,South East
Lotus Creek Wind Farm,Wind,Wind,CS Energy,,285,Under construction,149.25596,-22.3593,Renewable,Isaac,https://lotuscreekwindfarm.com.au/,"Mackay, Isaac, Whitsunday"
Lower Wonga BESS,Storage,Battery storage,Equis,,200,Development approval,152.4302,-26.09598,Storage,Gympie,https://www.equis.com.au/pin-projects/woolooga,Wide Bay Burnett
Lower Wonga Solar Farm - BESS,Storage,Battery storage,Lightsource BP Australia,,200,Development approval,152.4425105,-26.0897283,Storage,Gympie,https://lightsourcebp.com/project/lower-wonga-solar/,Wide Bay Burnett
Lower Wonga Solar Farm - Solar,Solar,Solar,Lightsource BP Australia,,297.5,Development approval,152.4499051,-26.0985505,Renewable,Gympie,https://lightsourcebp.com/project/lower-wonga-solar/,Wide Bay Burnett
Majors Creek Solar Project,Solar,Solar,Edify Energy,,200,Development approval,146.8711872,-19.57411047,Renewable,Townsville,https://edifyenergy.com/project/majors-creek/,North
