hour,price,direct_radiation,demand,negative_events
0,81.67839499178082,0.0,6057.290219158904,0
1,77.1409703369863,0.0,5847.099815084932,0
2,74.34400000547944,0.0,5737.834945189042,0
3,74.03900686849316,0.0,5711.114892687671,0
4,79.07079451780822,0.0,5790.7822511342465,0
5,84.66736756986302,0.0,5991.733303668493,0
6,77.61879908219179,9.629893238434164,6192.5532397397255,20
7,49.6392876739726,62.944839857651246,6088.700885857535,82
8,23.32311184931507,175.81494661921707,5613.079808227397,135
9,14.467187210958903,307.61743772241994,5166.847605024658,179
10,8.70112555890411,417.2740213523132,4895.556824180822,199
11,9.913584498630136,479.51601423487546,4934.462181846576,196
12,11.533251147945206,509.6405693950178,5029.829429208219,200
13,15.379899526027398,491.0960854092527,5200.8888104958905,182
14,23.94796575068493,438.2811387900356,5625.139260279452,144
15,42.303974871232874,353.2740213523132,6362.727705457535,69
16,76.29016440273972,238.6120996441281,7223.074835630137,6
17,119.07865295890412,131.39857651245552,7845.775703186302,1
18,131.73229222191782,38.02135231316726,7996.664388126028,0
19,116.3775591561644,2.3629893238434163,7770.071682649315,0
20,103.1661004520548,0.0,7479.338113517808,0
21,96.56232191780822,0.0,7238.411844750685,0
22,94.16366893150685,0.0,6756.544057073972,0
23,86.55010275616438,0.0,6377.15639499452,0
